© Leibniz-Institut für Deutsche Sprache, Mannheim
COSMAS II-Server, C2API-Version 4.20.6 - 06.08.2021

 
Datum         : Montag, den 13. September 2021, 21:16:58
Archiv        : W - Archiv der geschriebenen Sprache
Korpus        : W-öffentlich - alle öffentlichen Korpora des Archivs W (mit Neuakquisitionen)
Archiv-Release: Deutsches Referenzkorpus DeReKo-2021-I
Suchanfrage   : #REG(^[A-ZÄÖÜ][a-zäöüß]+_in(nen)?$)
Suchoptionen  : Ei+Ri+Di, Flex
Ergebnis      : 3.152 Treffer

 
Suchbegriff-Expansionslisten (alphab. aufsteigend)

Liste zu:  #REG(^[A-ZÄÖÜ][a-zäöüß]+_in(nen)?$)  : 847 Wortformen, alphab. aufsteigend

Optionen:
Groß-/Klein. ignorieren, diacr. Zeich. ignorieren
Radiomacher_innen               :   1 (  0.03%)
Rapper_innen                    :   3 (  0.10%)
Rassismustheoretiker_innen      :   1 (  0.03%)
Rassist_Innen                   :   1 (  0.03%)
Rassist_innen                   :  19 (  0.60%)
rassist_innen                   :   1 (  0.03%)
Raucher_innen                   :   2 (  0.06%)
Räumer_innen                    :   1 (  0.03%)
Räumungsverweiger_innen         :   1 (  0.03%)
Rebell_innen                    :   5 (  0.16%)
Rechnungsprüfer_in              :   1 (  0.03%)
Rechteinhaber_in                :   1 (  0.03%)
Rechtsanwält_innen              :   1 (  0.03%)
Rechtsextremist_innen           :   1 (  0.03%)
Rechtsnationalist_innen         :   1 (  0.03%)
Rechtspopulisten_innen          :   1 (  0.03%)
Rechtspopulist_innen            :   6 (  0.19%)
Redakteure_innen                :   1 (  0.03%)
Redakteur_in                    :   1 (  0.03%)
Redakteur_innen                 :  14 (  0.44%)
Redner_innen                    :   6 (  0.19%)
Referent_in                     :   4 (  0.13%)
Referent_Innen                  :   1 (  0.03%)
Referent_innen                  :  24 (  0.76%)
Regierungschef_in               :   1 (  0.03%)
Regionen_in                     :   1 (  0.03%)
Regisseur_in                    :   1 (  0.03%)
Regisseur_innen                 :   7 (  0.22%)
Rekonstrukteur_innen            :   1 (  0.03%)
Repräsentant_innen              :   1 (  0.03%)
Reservisten_innen               :   1 (  0.03%)
Revolutionär_innen              :   1 (  0.03%)
Revolutionslaubenpieper_innen   :   1 (  0.03%)
Rezensent_innen                 :   2 (  0.06%)
Rezepient_innen                 :   1 (  0.03%)
Rezipient_innen                 :   2 (  0.06%)
Richter_innen                   :   3 (  0.10%)
Rollifahrer_innen               :   1 (  0.03%)
Rollstuhlfahrer_innen           :   2 (  0.06%)
Sachbearbeiter_innen            :   1 (  0.03%)
Salzburger_innen                :   3 (  0.10%)
Sammler_innen                   :   1 (  0.03%)
Sänger_innen                    :   2 (  0.06%)
Satiriker_innen                 :   1 (  0.03%)
Säzzer_innen                    :   1 (  0.03%)
Schauspieler_innen              :  25 (  0.79%)
schauspieler_innen              :   1 (  0.03%)
Scheinasylant_innen             :   1 (  0.03%)
Schießtrainer_innen             :   1 (  0.03%)
Schlachter_in                   :   1 (  0.03%)
Schreiber_innen                 :   1 (  0.03%)
Schriftsteller_innen            :   8 (  0.25%)
Schüer_innen                    :   1 (  0.03%)
Schüler_in                      :   1 (  0.03%)
Schüler_Innen                   :   6 (  0.19%)
Schüler_innen                   :  44 (  1.40%)
Schwed_innen                    :   1 (  0.03%)
Schweriner_in                   :   1 (  0.03%)
Sedrun_innen                    :   1 (  0.03%)
sei_in                          :   1 (  0.03%)
Senator_innen                   :   1 (  0.03%)
Senior_innen                    :   1 (  0.03%)
Sexarbeiter_innen               :   9 (  0.29%)
Sexist_innen                    :   2 (  0.06%)
Sexualpartner_innen             :   2 (  0.06%)
Sexworker_innen                 :   1 (  0.03%)
Siedler_innen                   :  10 (  0.32%)
Sie_in                          :   1 (  0.03%)
Sittenwächter_innen             :   2 (  0.06%)
sockaddr_in                     :   1 (  0.03%)
Soldat_innen                    :   4 (  0.13%)
Solist_innen                    :   1 (  0.03%)
Soundarchivist_innen            :   1 (  0.03%)
Soundkünstler_innen             :   1 (  0.03%)
Sowjetbürger_innen              :   1 (  0.03%)
Sozialarbeiter_innen            :   1 (  0.03%)
Sozialdemokrat_innen            :   4 (  0.13%)
Sozialist_in                    :   1 (  0.03%)
Sozialminister_in               :   1 (  0.03%)
Sozialunternehmer_innen         :   2 (  0.06%)
Soziolog_innen                  :   3 (  0.10%)
Spaßdadaist_innen               :   1 (  0.03%)
Spaziergänger_innen             :   1 (  0.03%)
Spender_innen                   :   1 (  0.03%)
Spieler_in                      :   1 (  0.03%)
Spieler_innen                   :   3 (  0.10%)
spieler_innen                   :   1 (  0.03%)
Spinner_innen                   :   1 (  0.03%)
Spitzenkandidat_innen           :   1 (  0.03%)
Spitzenpolitiker_in             :   1 (  0.03%)
Sportler_innen                  :   7 (  0.22%)
Sprachästhet_innen              :   1 (  0.03%)
Sprachwissenschaftler_innen     :   1 (  0.03%)
Sprecher_in                     :   1 (  0.03%)
Sprecher_innen                  :   3 (  0.10%)
Spreepirat_innen                :   3 (  0.10%)
Staatsanwält_innen              :   2 (  0.06%)
Staatsbürger_innen              :   1 (  0.03%)
Stadtbewohner_innen             :   1 (  0.03%)
Stalker_innen                   :   1 (  0.03%)
Stammtischchauvinist_innen      :   1 (  0.03%)
STAMMWÄHLER_INNEN               :   1 (  0.03%)
Step_in                         :  14 (  0.44%)
Steuerzahler_innen              :   1 (  0.03%)
Sticker_innen                   :   1 (  0.03%)
stolz_in                        :   1 (  0.03%)
Störer_Innen                    :   1 (  0.03%)
Strahlegg_innen                 :   1 (  0.03%)
Strassberg_innen                :   1 (  0.03%)
Straßenhändler_innen            :   1 (  0.03%)
Straßenkünstler_innen           :   1 (  0.03%)
Straßenpflastermaler_innen      :   1 (  0.03%)
Streiter_innen                  :   1 (  0.03%)
Strick_In                       :   2 (  0.06%)
Strick_in                       :  14 (  0.44%)
Stripper_innen                  :   1 (  0.03%)
Student_in                      :   3 (  0.10%)
Student_Innen                   :   7 (  0.22%)
Student_innen                   :  22 (  0.70%)
Studen_innen                    :   1 (  0.03%)
Studienkolleg_innen             :   1 (  0.03%)
Südkoreaner_innen               :   1 (  0.03%)
Superheld_innen                 :   3 (  0.10%)
Tänzer_Innen                    :   1 (  0.03%)
Tänzer_innen                    :  16 (  0.51%)
Täter_in                        :   1 (  0.03%)
Täter_innen                     :   6 (  0.19%)
Tatortverunreiniger_innen       :  20 (  0.63%)
Taxifahrer_innen                :   1 (  0.03%)
tazler_innen                    :   2 (  0.06%)
Teilhaber_innen                 :   1 (  0.03%)
Teilnehmer_in                   :   1 (  0.03%)
Teilnehmer_Innen                :   1 (  0.03%)
Teilnehmer_innen                :  26 (  0.82%)
Terrorist_in                    :   1 (  0.03%)
ter_innen                       :   1 (  0.03%)
Testleser_innen                 :   1 (  0.03%)
Textilarbeiter_innen            :   2 (  0.06%)
Theatermacher_innen             :   2 (  0.06%)
Theaterpädagog_in               :   1 (  0.03%)
Theoretiker_innen               :   5 (  0.16%)
Therapeut_innen                 :   1 (  0.03%)
Ticketkontrolleur_in            :   1 (  0.03%)
Tiefenpsycholog_innen           :   1 (  0.03%)
Tierbefreiei_innen              :   1 (  0.03%)
Tierechtsaktivist_innen         :   1 (  0.03%)
Tierrechtler_innen              :   6 (  0.19%)
Tierschützer_innen              :   1 (  0.03%)
Tiroler_innen                   :   1 (  0.03%)
Tonmacher_innen                 :   1 (  0.03%)
Topdesigner_innen               :   1 (  0.03%)
tor_innen                       :   1 (  0.03%)
Tourist_innen                   :   6 (  0.19%)
Transaktivist_innen             :   2 (  0.06%)
Transfreund_innen               :   1 (  0.03%)
Transgendermuslim_in            :   1 (  0.03%)
Trommler_innen                  :   1 (  0.03%)
Tüftler_innen                   :   1 (  0.03%)
Türk_innen                      :   1 (  0.03%)
Türsteher_innen                 :   1 (  0.03%)
Übersetzer_innen                :   1 (  0.03%)
Übungsleiter_innen              :   1 (  0.03%)
Umfrageteilnehmer_Innen         :   1 (  0.03%)
Umweltaktivist_innen            :   3 (  0.10%)
Umweltschützer_innen            :   2 (  0.06%)
Unionsbürger_Innen              :   1 (  0.03%)
Unlesbarmachen_innen            :   1 (  0.03%)
Unterhaltungsliterat_innen      :   1 (  0.03%)
Unternehmer_in                  :   2 (  0.06%)
Unternehmer_innen               :   6 (  0.19%)
Unterschriftensammler_innen     :   1 (  0.03%)
Unterstützer_innen              :  14 (  0.44%)
Unterzeichner_innen             :   1 (  0.03%)
Urbanist_innen                  :   1 (  0.03%)
Ureinwohner_innen               :   1 (  0.03%)
Urheber_innen                   :   3 (  0.10%)
User_in                         :   1 (  0.03%)
User_innen                      :   7 (  0.22%)
Veganer_innen                   :   3 (  0.10%)
Veranstalter_innen              : 128 (  4.06%)
Verbraucher_innen               :   3 (  0.10%)
verbrecher_INNEN                :   4 (  0.13%)
VerdrängungGBesucher_innen      :   1 (  0.03%)
verfasser_innen                 :   1 (  0.03%)
Verfassungsschützer_innen       :   1 (  0.03%)
Vergewaltiger_innen             :   1 (  0.03%)
Verhaltenstherapeut_innen       :   1 (  0.03%)
Verkäufer_in                    :   2 (  0.06%)
Verkäufer_innen                 :   4 (  0.13%)
Verleger_innen                  :   1 (  0.03%)
Verlierer_innen                 :   2 (  0.06%)
Vermieter_innen                 :   1 (  0.03%)
Vermittler_innen                :   1 (  0.03%)
Verteidiger_innen               :   1 (  0.03%)
Vertragsarbeiter_innen          :   1 (  0.03%)
Vertreter_in                    :   1 (  0.03%)
Vertreter_innen                 :  24 (  0.76%)
Verwalter_innen                 :   1 (  0.03%)
Verwerter_innen                 :   1 (  0.03%)
Verweser_innen                  :   1 (  0.03%)
Videokünstler_in                :   1 (  0.03%)
Videokünstler_innen             :   1 (  0.03%)
VKE_in                          :   1 (  0.03%)
Volksvertreter_innen            :   1 (  0.03%)
Vollstrecker_innen              :   2 (  0.06%)
Vorgänger_In                    :   1 (  0.03%)
Vorgänger_innen                 :   1 (  0.03%)
Vorkämpfer_innen                :   1 (  0.03%)
Vorleser_innen                  :   1 (  0.03%)
Vorzeigemigrant_in              :   1 (  0.03%)
wagenbewohner_innen             :   1 (  0.03%)
Wahlberliner_innen              :   1 (  0.03%)
Wähler_in                       :   1 (  0.03%)
Wähler_innen                    :  19 (  0.60%)
Wahlhelfer_innen                :   1 (  0.03%)
Wahlverlierer_innen             :   1 (  0.03%)
Weggefährt_innen                :   1 (  0.03%)
Weinkönig_in                    :   2 (  0.06%)
Weintrinker_innen               :   1 (  0.03%)
Welthumanist_innen              :   1 (  0.03%)
Werkzeugmechaniker_in           :   1 (  0.03%)
Wert_in                         :   1 (  0.03%)
Westrentner_innen               :   1 (  0.03%)
Wettbewerber_innen              :   1 (  0.03%)
Whiskytrinker_innen             :   1 (  0.03%)
Widerständler_innen             :   1 (  0.03%)
Widerstandskämpfer_innen        :   1 (  0.03%)
Wiener_innen                    :   1 (  0.03%)
Wikipedianer_in                 :   1 (  0.03%)
Wikipedianer_innen              :   5 (  0.16%)
Wilhelmsburger_innen            :   1 (  0.03%)
Wirtschaftsprüfer_innen         :   2 (  0.06%)
Wirtschaftsvertreter_innen      :   1 (  0.03%)
Wissenschaftler_in              :   3 (  0.10%)
Wissenschaftler_innen           :  11 (  0.35%)
Wortführer_innen                :   1 (  0.03%)
Wursthändler_innen              :   1 (  0.03%)
Yorker_innen                    :   1 (  0.03%)
Zecher_innen                    :   1 (  0.03%)
Zeichner_in                     :   1 (  0.03%)
Zeichner_innen                  :   6 (  0.19%)
Zeitarbeiter_innen              :   1 (  0.03%)
Zeitgenoss_innen                :   4 (  0.13%)
Zeitzeug_innen                  :   2 (  0.06%)
Zeug_innen                      :   2 (  0.06%)
Zirkuskünstler_innen            :   1 (  0.03%)
Zivilisten_innen                :   1 (  0.03%)
Zivilist_innen                  :   1 (  0.03%)
Zuhörer_innen                   :   5 (  0.16%)
zuschauer_In                    :   1 (  0.03%)
Zuschauer_Innen                 :   1 (  0.03%)
Zuschauer_innen                 :  20 (  0.63%)
Zuseher_innen                   :   1 (  0.03%)
Zwangsarbeiter_innen            :   7 (  0.22%)
zwar_in                         :   1 (  0.03%)
