Laenge,Hauptwort,Vorschlag,Binnen
17,Mittelschullehrer,MittelschullehrerInnen,Y
17,Mittelschullehrer,Mittelschullehrerinnen und Mittelschullehrer,N
17,Oberösterreichern,Oberösterreicherinnen und Oberösterreichern,N
17,Oberösterrreicher,Oberösterreicherin bzw. Oberösterreicher,N
17,Olympiamannschaft,Olympiateam,N
17,Operationsgehilfe,Operationsgehilfin bzw. -gehilfe,N
17,Ordinationshelfer,Ordinationshelferin bzw. -helfer,N
17,Personalvertreter,PersonalvertreterInnen,Y
17,Personalvertreter,Personalvertreterinnen bzw. Personalvertreter,N
17,Personalvertreter,Personalvertreterin bzw. Personalvertreter,N
17,Personalvertreter,Personalvertretung,N
17,Pflegebedürftiger,Pflegebedürftige bzw. Pflegebedürftiger,N
17,Physiotherapeuten,Physiotherapeutinnen und Physiotherapeuten,N
17,Physiotherapeuten,PhysiotherapeutInnen,Y
17,Physiotherapeutin,Physiotherapeutin bzw. -therapeut,N
17,Prosekturgehilfen,ProsekturgehilfInnen,Y
17,Prozesseigentümer,ProzesseigentümerIn,Y
17,Prozesseigentümer,Prozesseigentümerin bzw. Prozesseigentümer,N
17,Psychotherapeuten,Psychotherapeutinnen und Psychotherapeuten,N
17,PUMA-Beauftragter,PUMA-Beauftragte bzw. -Beauftragter,N
17,Rettungssanitäter,Sanitäterin bzw. Sanitäter,N
17,Sportplatzrevisor,Sportplatzrevisorin bzw. -revisor,N
17,Stabstellenleiter,Stabstellenleiterin bzw. -leiter,N
17,Stationsschwester,Stationsschwester bzw. Stationspfleger,N
17,Systemanalytikern,Systemanalytikerinnen und Systemanalytikern,N
17,Versichertenkarte,Gesundheitskarte,N
17,Versichertenkarte,Versicherungskarte,N
17,Veterinärdirektor,Veterinärdirektorin bzw. Veterinärdirektor,N
17,Vizebürgermeister,Vizebürgermeisterin bzw. Vizebürgermeister,N
17,Volksschullehrern,Volksschullehrerinnen und Volksschullehrern,N
17,Wählerverzeichnis,Wahlverzeichnis,N
17,Wäschereiarbeiter,Wäschereiarbeiterin bzw. -arbeiter,N
17,Werkstättenleiter,Werkstättenleiterin bzw. Werkstättenleiter,N
17,Wirtschaftshelfer,Wirtschaftshelferin bzw. Wirtschaftshelfer,N
17,Wirtschaftshelfer,WirtschaftshelferInnen,Y
17,Wirtschaftshelfer,Wirtschaftshelferinnen und Wirtschaftshelfer,N
16,Abteilungshelfer,Abteilungshelferin bzw. -helfer,N
16,Abteilungshelfer,AbteilungshelferInnen,Y
16,Abteilungshelfer,Abteilungshelferinnen und Abteilungshelfer,N
16,Abteilungsleiter,Abteilungsleitung,N
16,Abteilungsleiter,Abteilungsleiterin bzw. Abteilungsleiter,N
16,Abteilungsleiter,AbteilungsleiterInnen,Y
16,Abteilungsleiter,Abteilungsleiterinnen und Abteilungsleiter,N
16,Anwaltsassistent,Anwaltsassistentin und Anwaltsassistent,N
16,Anwenderprogramm,Anwendungsprogramm,N
16,Arbeiterfamilien,Familien von Arbeiterinnen und Arbeitern,N
16,Arbeitsmediziner,Arbeitsmedizinerin bzw. Arbeitsmediziner,N
16,Arbeitsmediziner,ArbeitsmedizinerInnen,Y
16,Benutzerhandbuch,Bedienungsanleitung,N
16,Benutzerhandbuch,Benutzungshandbuch,N
16,Benutzerhandbuch,Manual,N
16,Beratertätigkeit,BeraterInnentätigkeit,Y
16,Beratertätigkeit,Beratung,N
16,Beratertätigkeit,Beratung,N
16,Bereichsdirektor,Bereichsdirektorin bzw. Bereichsdirektor,N
16,Besucherrückgang,Publikumsrückgang,N
16,Besucherrückgang,Rückgang der Besuche,N
16,Besucherrückgang,sinkende Nachfrage,N
16,Betriebsvorstand,Betriebsvorständin bzw. -vorstand,N
16,Bezirksvorsteher,Bezirksvorsteherin bzw. -vorsteher,N
16,Bezirksvorsteher,BezirksvorsteherInnen,Y
16,Bezirksvorsteher,Bezirksvorsteherinnen und Bezirksvorsteher,N
16,Brandschutzwarte,BrandschutzwartInnen,Y
16,Budgetreferenten,BudgetreferentInnen,Y
16,Budgetreferenten,Budgetrefertinnen und -referenten,N
16,Diplomingenieure,DiplomingenieurInnen,Y
16,Ein-Mann-Betrieb,Ein-Personen-Betrieb,N
16,Elektroingenieur,Elektroingenieurin und Elektroingenieur,N
16,Elektromonteuren,Elektromonteurinnen und Elektromonteure,N
16,Fachbediensteter,Fachbedienstete bzw. Fachbediensteter,N
16,Familienreferent,Familienreferentin bzw. -referent,N
16,Ferialpraktikant,Ferialpraktikantin bzw. Ferialpraktikant,N
16,Finanzreferenten,FinanzreferentInnen,Y
16,Frauenmannschaft,Frauenteam,N
16,Generalsekretäre,GeneralsekretärInnen,Y
16,Generalsekretäre,Generalsekretärinnen und Generalsekretäre,N
16,Genossenschafter,GenossenschafterInnen,Y
16,Genossenschafter,Genossenschafterinnen und Genossenschafter,N
16,Geschäftsführern,Geschäftsführerinnen und Geschäftsführern,N
16,Geschäftsinhaber,Geschäftsinhaberin bzw. Geschäftsinhaber,N
16,Geschäftsinhaber,GeschäftsinhaberInnen,Y
16,Geschäftsinhaber,Geschäftsinhaberinnen und Geschäftsinhaber,N
16,Geschäftsleitern,Geschäftsleiterinnen und Geschäftsleitern,N
16,Gesprächspartner,Gesprächsbeteiligte; Gegenüber,N;
16,Hauptschullehrer,Hauptschullehrerin bzw. Hauptschullehrer,N
16,Hauptschullehrer,HauptschullehrerInnen,Y
16,Hauptschullehrer,Hauptschullehrerinnen und Hauptschullehrer,N
16,Hauptschullehrer,Lehrkörper,N
16,IKS-Beauftragter,IKS-Beauftragte bzw. IKS-Beauftragter,N
16,Immobilienmakler,Immobilienmaklerin bzw. -makler,N
16,Immobilienmakler,ImmobilienmaklerInnen,Y
16,Immobilienmakler,Immobilienmaklerinnen und Immobilienmakler,N
16,Jugendombudsmann,Jugendombudsfrau bzw. -mann,N
16,Jugendombudsmann,Jugendombudsstelle,N
16,Klubvorsitzender,Klubvorsitzende bzw. - vorsitzender,N
16,Kraftwagenlenker,Kraftwagenlenkerin bzw.-lenker,N
16,Krankenschwester,Krankenschwester bzw. -pfleger,N
16,kundenfreundlich,kundInnenfreundlich,Y
16,kundenfreundlich,zuvorkommend,N
16,Landtagsdirektor,Landtagsdirektorin bzw. Landtagsdirektor,N
16,Lateinamerikaner,Lateinamerikanerin und Lateinamerikaner,N
16,Lateinamerikaner,LateinamerikanerInnen,Y
16,Lateinamerikaner,Lateinamerikanerinnen und Lateinamerikaner,N
16,Lokomotivführern,Lokomotivführerinnen und Lokomotivführern,N
16,Maschinenmeister,Maschinenmeisterin bzw. -meister,N
16,Musikschulleiter,Musikschulleiterin bzw. -leiter,N
16,Musikschulleiter,Musikschulleitung,N
16,Oberösterreicher,OberösterreicherInnen,Y
16,Oberösterreicher,Oberösterreicherinnen und Oberösterreicher,N
16,Objekteigentümer,ObjekteigentümerIn,Y
16,Objekteigentümer,Objekteigentümerin bzw. Projekteigentümer,N
16,Personalreferent,Personalreferentin bzw. -referent,N
16,Prosekturgehilfe,Prosekturgehilfin bzw. -gehilfe,N
16,Prozessinitiator,ProzessinitiatorIn,Y
16,Prozessinitiator,Prozessinitiatorin bzw. Prozessinitiator,N
16,Qualitätsmanager,Qualitätsmanagerin bzw. -manager,N
16,Qualitätsmanager,QualitätsmanagerInnen,Y
16,Rauchfangkehrern,Rauchfangkehrerinnen und Rauchfangkehrern,N
16,Sachverständiger,Expertin bzw. Experte,N
16,Sachverständiger,Sachverständige bzw. Sachverständiger,N
16,Schirmherrschaft,Support; gefördert von; unterstützt von,N
16,Sozialdemokraten,SozialdemokratInnen,Y
16,Sozialdemokraten,Sozialdemokratinnen und Sozialdemokraten,N
16,Stadtbaudirektor,Stadtbaudirektorin bzw. Stadtbaudirektor,N
16,Stützpunktleiter,Stützpunktleiterin bzw. -leiter,N
16,Stützpunktleiter,StützpunktleiterInnen,Y
16,Systemanalytiker,Systemanalytikerin bzw. Systemanalytiker,N
16,Systemanalytiker,SystemanalytikerInnen,Y
16,Systemanalytiker,Systemanalytikerinnen und Systemanalytiker,N
16,Teilnehmergebühr,Teilnahmegebühr,N
16,Volksschullehrer,Volksschullehrerin bzw. Volksschullehrer,N
16,Volksschullehrer,VolksschullehrerInnen,Y
16,Volksschullehrer,Volksschullehrerinnen und Volksschullehrer,N
16,Volksschullehrer,Volksschul-Lehrkörper,N
16,Wissenschaftlern,Wissenschaftlerinnen und Wissenschaftlern,N
16,Zentraleuropäern,Zentraleuropäerinnen und Zentraleuropäern,N
15,Administratoren,Administratorinnen und Administratoren,N
15,Adressatenliste,AdressatInnenliste,Y
15,Adressatenliste,Adressatinnenliste und Adressatenliste,N
15,Alleinverdiener,Alleinverdienerin bzw. Alleinverdiener,N
15,Alleinverdiener,AlleinverdienerInnen,Y
15,Alleinverdiener,Alleinverdienerinnen und Alleinverdiener,N
15,Altersforschern,Altersforscherinnen und Altersforschern,N
15,Ansprechpartner,AnsprechpartnerInnen,Y
15,Ansprechpartner,Ansprechpartnerin bzw. Ansprechpartner,N
15,Ansprechpartner,Ansprechperson; Kontakt,N;
15,Anstaltsgehilfe,Anstaltsgehilfin bzw.-gehilfe,Y
15,Anstaltsgehilfe,Anstaltsgehilfin und Anstaltsgehilfe,N
15,Anstaltsgehilfe,Anstaltsgehilfinnen und Anstaltsgehilfen,N
15,Antragsstellern,Antragsstellerinnen und Antragsstellern,N
15,anwenderbezogen,anwendungsbezogen,N
15,anwenderbezogen,praxisbezogen,N
15,Arbeitskollegen,Arbeitskolleginnen und Arbeitskollegen,N
15,Ärztekommission,ärztliche Kommission,N
15,Autoelektrikern,Autoelektrikerinnen und Autoelektrikern,N
15,Automechanikern,Automechanikerinnen und Automechanikern,N
15,Bankkaufmännern,Bankkauffrauen und Bankkaufmännern,N
15,Bauinspizienten,BauinspizientInnen,Y
15,Benutzerordnung,Benutzungsordnung,N
15,Besitzerwechsel,Besitzwechsel,N
15,Betriebsprüfern,Betriebsprüferinnen und Betriebsprüfern,N
15,Bezirksreferent,Bezirksreferentin bzw. -referent,N
15,Blockelektriker,Blockelektrikerin und Blockelektriker,N
15,Blockelektriker,Blockelektrikerinnen und Blockelektriker,N
15,Branddirektoren,BranddirektorInnen,Y
15,Branddirektoren,Branddirektorinnen und Branddirektoren,N
15,Brandschutzwart,Brandschutzwartin bzw. -schutzwart,N
15,Damenmannschaft,Damenteam,N
15,Dezernatsleiter,Dezernatsleiterin bzw. -leiter,N
15,Dezernatsleiter,Dezernatsleiterinnen und -leiter,N
15,Dezernatsleiter,Dezernatsleitung,N
15,Dipl. Logopädin,Dipl. Logopädin bzw. Dipl. Logopäde,N
15,Diplomingenieur,Diplomingenieurin bzw. Diplomingenieur,N
15,Druckereileiter,Druckereileiterin bzw. -leiter,N
15,Elektromonteure,Elektromonteurinnen und Elektromonteure,N
15,Ergotherapeuten,ErgotherapeutInnen,Y
15,Expertengremium,ExpertInnengremium,Y
15,Expertengremium,Gremium von Expertinnen und Experten,N
15,Fachassistenten,FachassistentInnen,Y
15,Fachassistenten,Fachassistenz,N
15,Fachwerkmeister,Fachwerkmeisterin bzw. -werkmeister,N
15,Fachwerkmeister,FachwerkmeisterInnen,Y
15,Feuerwehrmänner,Feuerwehrleute,N
15,Feuerwehrmänner,Feuerwehrleute,N
15,Gebietsreferent,Gebietsreferentin bzw. -referent,N
15,Gebietsreferent,GebietsreferentInnen,Y
15,Generaldirektor,Generaldirektorin bzw. -direktor,N
15,Generalsekretär,Generalsekretärin bzw. -sekretär,N
15,Geschäftsführer,Geschäftsführende,N
15,Geschäftsführer,Geschäftsführerin und Geschäftsführer,N
15,Geschäftsführer,GeschäftsführerInnen,Y
15,Geschäftsführer,Geschäftsführerinnen und Geschäftsführer,N
15,Geschäftsführer,Geschäftsführung,N
15,Geschäftsleiter,Geschäftsleiterin bzw. Geschäftsleiter,N
15,Geschäftsleiter,GeschäftsleiterInnen,Y
15,Geschäftsleiter,Geschäftsleiterinnen und Geschäftsleiter,N
15,Gesellschaftern,Gesellschafterinnen und Gesellschaftern,N
15,Gewerkschaftern,Gewerkschafterinnen und Gewerkschaftern,N
15,Hausinspektoren,HausinspektorInnen,Y
15,Hauskoordinator,Hauskoordinatorin bzw. -koordinator,N
15,Heimhelferinnen,Heimhelferinnen und Heimhelfer,N
15,Ingenieurarbeit,Planungs- und Konstruktionsarbeit,N
15,IT-Beauftragter,IT-Beauftragte bzw. IT-Beauftragter,N
15,Kanzleigehilfin,Kanzleigehilfin bzw. -gehilfe,N
15,Kanzleilehrling,weiblicher bzw. männlicher Kanzleilehrling,N
15,Kanzleileiterin,Kanzleileiterin bzw.- leiter,N
15,Kardiotechniker,Kardiotechnikerin bzw. -techniker,N
15,Kindergärtnerin,Kindergartenpädagogin bzw. -pädagoge,N
15,Klassensprecher,Klassensprecherin bzw. Klassensprecher,N
15,Klassensprecher,KlassensprecherInnen,Y
15,Klassensprecher,Klassensprecherinnen und Klassensprecher,N
15,Krankenpflegern,Krankenpflegerinnen und Krankenpflegern,N
15,Landeshauptmann,Landeshauptfrau bzw. -mann,N
15,Lebensgefährten,Lebensgefährtinnen und Lebensgefährten,N
15,Lehrerkonferenz,Konferenz der Lehrkräfte,N
15,leserfreundlich,lesefreundlich,N
15,Lokomotivführer,Lokomotivführerin und Lokomotivführer,N
15,Marketingleiter,Marketingleiterin bzw. -leiter,N
15,Metallarbeitern,Metallarbeiterinnen und Metallarbeitern,N
15,Mitteleuropäern,Mitteleuropäerinnen und Mitteleuropäern,N
15,Motorradfahrern,Motorradfahrerinnen und Motorradfahrern,N
15,Nordamerikanern,Nordamerikanerinnen und Nordamerikanern,N
15,Oberwerkmeister,Oberwerkmeisterin bzw. -werkmeister,N
15,Parlamentariern,Parlamentarierinnen und Parlamentariern,N
15,Patientenanwalt,PatientInnenanwältin bzw. -anwalt,Y
15,Patientenanwalt,PatientInnenanwaltschaft,Y
15,Patientenzimmer,Wartezimmer,N
15,Physiotherapeut,Physiotherapeutin bzw. Physiotherapeut,N
15,Protokollführer,Protokollführende,N
15,Psychotherapeut,Psychotherapeutin bzw. -therapeut,N
15,Rauchfangkehrer,RauchfangkehrerInnen,Y
15,Rauchfangkehrer,Rauchfangkehrerinnen und Rauchfangkehrer,N
15,Rechtsfürsorger,Rechtsfürsorgerin bzw. -fürsorger,N
15,Rechtsfürsorger,RechtsfürsorgerInnen,Y
15,Sachbearbeitern,Sachbearbeiterinnen und Sachbearbeitern,N
15,Sammlungsleiter,Sammlungsleiterin bzw. -leiter,N
15,Sanitätsgehilfe,Sanitätsgehilfin bzw. -gehilfe,N
15,Sanitätsrevisor,Sanitätsrevisorin bzw. -revisor,N
15,Schriftstellern,Schriftstellerinnen und Schriftstellern,N
15,Sektionsleitern,Sektionsleiterinnen und Sektionsleitern,N
15,Sozialarbeitern,Sozialarbeiterinnen und Sozialarbeitern,N
15,Sozialpädagogen,SozialpädagogInnen,Y
15,Sozialpädagogen,Sozialpädagoginnen und Sozialpädagogen,N
15,Stationsgehilfe,Stationsgehilfin bzw. -gehilfe,N
15,Stationspfleger,Stationspflegerin bzw. -pfleger,N
15,Stationspfleger,Stationsschwester bzw. Stationspfleger,N
15,Stationsrevisor,Stationsrevisorin bzw. Stationsrevisor,N
15,Stationsrevisor,Stationsrevisorinnen und Stationsrevisoren,N
15,Teamassistenten,TeamassistentInnen,Y
15,Teamwerkmeister,Teamwerkmeisterin bzw. -meister,N
15,Teamwerkmeister,TeamwerkmeisterInnen,Y
15,Unteroffizieren,Unteroffizierinnen und Unteroffizieren,N
15,Vereinsobmänner,Vereinsobleute,N
15,Vergabereferent,VergabereferentInnen,Y
15,Vergabereferent,Vergabereferentin bzw. -referent,N
15,Vertragspartner,Vertragspartei,N
15,Weltmarktführer,Weltmarktführende,N
15,Werkzeugmachern,Werkzeugmacherinnen und Werkzeugmachern,N
15,Wissenschaftler,Wissenschaftlerin bzw. Wissenschaftler,N
15,Wissenschaftler,WissenschaftlerInnen,Y
15,Wissenschaftler,Wissenschaftlerinnen und Wissenschaftler,N
15,Wohnungsmaklern,Wohnungsmaklerinnen und Wohnungsmaklern,N
15,Zahnarzthelfern,Zahnarzthelferinnen und Zahnarzthelfern,N
15,Zentraleuropäer,Zentraleuropäerin bzw. Zentraleuropäer,N
15,Zentraleuropäer,ZentraleuropäerInnen,Y
15,Zentraleuropäer,Zentraleuropäerinnen und Zentraleuropäer,N
14,Abfallmanagern,Abfallmanagerinnen und Abfallmanagern,N
14,Altersforscher,Altersforscherin und Altersforscher,N
14,Altersforscher,AltersforscherInnen,Y
14,Altersforscher,Altersforscherinnen und Altersforscher,N
14,Anlagebesitzer,Anlagebesitzende,N
14,Antragssteller,AntragsstellerInnen,Y
14,Antragssteller,Antragsstellerinnen und Antragssteller,N
14,Anwaltshonorar,Honorar von Anwältinnen und Anwälten,N
14,Arbeiternehmer,ArbeitnehmerInnen,Y
14,Arbeiternehmer,Belegschaft,N
14,Arbeiternehmer,Beschäftigte,N
14,Arbeitskollege,Arbeitskollegin und Arbeitskollege,N
14,Archivgehilfen,Archivgehilfinnen und -gehilfen,N
14,Ausländerfrage,Migrationsthematik,N
14,Autoelektriker,Autoelektrikerin und Autoelektriker,N
14,Autoelektriker,AutoelektrikerInnen,Y
14,Autoelektriker,Autoelektrikerinnen und Autoelektriker,N
14,Automechaniker,Automechanikerin und Automechaniker,N
14,Automechaniker,AutomechanikerInnen,Y
14,Automechaniker,Automechanikerinnen und Automechaniker,N
14,Bankkaufmänner,Bankkauffrauen und Bankkaufmänner,N
14,Bauingenieuren,Bauingenieurinnen und Bauingenieuren,N
14,Benutzerprofil,BenutzerInnenprofil,Y
14,Benutzerprofil,Benutzerinnenprofil und Benutzerprofil,N
14,Bereichsleiter,Bereichsleiterin bzw. Bereichsleiter,N
14,Bereichsleiter,BereichsleiterInnen,Y
14,Bereichsleiter,Bereichsleitung,N
14,Besuchergruppe,Besuchsgruppe,N
14,Betriebsleiter,Betriebsleiterin bzw. -leiter,N
14,Betriebsleiter,Betriebsleitung,N
14,Betriebsprüfer,Betriebsprüferin bzw. Betriebsprüfer,N
14,Betriebsprüfer,BetriebsprüferInnen,Y
14,Betriebsprüfer,Betriebsprüferinnen und Betriebsprüfer,N
14,Bewerberzahlen,Bewerbungszahlen,N
14,Bibliothekaren,Bibliothekarinnen und Bibliothekaren,N
14,Brüderlichkeit,Solidarität,N
14,Budgetreferent,Budgetreferentin bzw. -referent,N
14,Bürgermeistern,Bürgermeisterinnen und Bürgermeistern,N
14,Bürokaufmänner,Bürokaufleute,N
14,Chefsekretärin,Chefsekretärin bzw. -sekretär,N
14,die Mannschaft,das Team,N
14,die Mannschaft,die Gruppe,N
14,Dipl. Logopäde,Dipl. Logopädin bzw. Dipl. Logopäde,N
14,Einsteigerkurs,Einstiegskurs,N
14,Einsteigerkurs,Grundkurs,N
14,Einsteigerkurs,Basiskurs,N
14,Elektromonteur,Elektromonteurin und Elektromonteur,N
14,Europareferent,Europareferentin bzw. -referent,N
14,Expertentagung,Fachtagung,N
14,Expertenwissen,Fachwissen,N
14,Expertenwissen,Fachwissen; Expertise,N;
14,Fachreferenten,FachreferentInnen,Y
14,Finanzreferent,Finanzreferentin bzw. Finanzreferent,N
14,Fußballspieler,Fußballspielende,N
14,Garagenmeister,GaragenmeisterIn,Y
14,Garagenmeister,Garagenmeisterin bzw. -meister,N
14,Garagenmeister,GaragenmeisterInnen,Y
14,Geschäftsfüher,Geschäftsführung; Geschäftsleitung,N;
14,Gesellschafter,Gesellschafterin bzw. Gesellschafter,N
14,Gesellschafter,GesellschafterInnen,Y
14,Gesellschafter,Gesellschafterinnen und Gesellschafter,N
14,Gesellschafter,Betriebsgesellschaft,N
14,Gewerkschafter,Gewerkschafterin bzw. Gewerkschafter,N
14,Gewerkschafter,GewerkschafterInnen,Y
14,Gewerkschafter,Gewerkschafterinnen und Gewerkschafter,N
14,IKT-Referenten,IKT-ReferentInnen,Y
14,Installateuren,Installateurinnen und Installateure,N
14,Inventarführer,Inventarführende,N
14,Inventarführer,Inventarführerin bzw. Inventarführer,N
14,Inventarführer,InventarführerInnen,Y
14,IT-Organisator,IT-Organisatorin bzw. IT-Organisator,N
14,Kinderfacharzt,Kinderfachärztin bzw. -facharzt,N
14,Krankenpfleger,Krankenpflegerin bzw. Krankenpfleger,N
14,Krankenpfleger,KrankenpflegerInnen,Y
14,Krankenpfleger,Krankenpflegerinnen und Krankenpfleger,N
14,Krankenpfleger,Pflegepersonal,N
14,Lebensgefährte,Lebensgefährtin bzw. Lebensgefährte,N
14,Lenkererhebung,Erhebung der Lenkerin bzw. des Lenkers,N
14,Lungenfacharzt,Lungenfachärztin bzw. -facharzt,N
14,Masseverwalter,Masseverwalterin und Masseverwalter,N
14,Masseverwalter,MasseverwalterInnen,Y
14,Masseverwalter,Masseverwalterinnen und Masseverwalter,N
14,Mechatronikern,Mechatronikerinnen und Mechatronikern,N
14,Mediensprecher,Mediensprecherin bzw. -sprecher,N
14,Mediensprecher,MediensprecherInnen,Y
14,Metallarbeiter,Metallarbeiterin bzw. Metallarbeiter,N
14,Metallarbeiter,MetallarbeiterInnen,Y
14,Metallarbeiter,Metallarbeiterinnen und Metallarbeiter,N
14,Mitteleuropäer,Mitteleuropäerin bzw. Mitteleuropäer,N
14,Mitteleuropäer,MitteleuropäerInnen,Y
14,Mitteleuropäer,Mitteleuropäerinnen und Mitteleuropäer,N
14,Motorradfahrer,MotorradfahrerInnen,Y
14,Motorradfahrer,Motorradfahrerinnen und Motorradfahrer,N
14,Motorradführer,Motorradführerin bzw. -führer,N
14,Musiktherapeut,Musiktherapeutin bzw. -therapeut,N
14,Nordamerikaner,Nordamerikanerin bzw. Nordamerikaner,N
14,Nordamerikaner,NordamerikanerInnen,Y
14,Nordamerikaner,Nordamerikanerinnen und Nordamerikaner,N
14,Notarzthelfern,Notarzthelferinnen und Notarzthelfern,N
14,Obermagazineur,Obermagazineurin bzw. -magazineur,N
14,Oberstudienrat,Oberstudienrätin und Oberstudienrat,N
14,Parlamentarier,Parlamentarierin bzw. Parlamentarier,N
14,Parlamentarier,ParlamentarierInnen,Y
14,Parlamentarier,Parlamentarierinnen und Parlamentarier,N
14,Pressereferent,Pressereferentin bzw. -referent,N
14,Programmierern,Programmiererinnen und Programmierern,N
14,Programmleiter,Programmleiterin bzw. -leiter,N
14,Programmleiter,ProgrammleiterInnen,Y
14,Programmleiter,Programmleitung,N
14,Projektmanager,Projektmanagerin bzw. -manager,N
14,Raucherbereich,Bereich für Rauchende,N
14,Rechtsanwälten,Rechtsanwältinnen und Rechtsanwälten,N
14,Rechtsreferent,Rechtsreferentin bzw. Rechtsreferent,N
14,Referatsleiter,Referatsleiterin bzw. -leiter,N
14,Referatsleiter,ReferatsleiterInnen,Y
14,Referatsleiter,Referatsleitung,N
14,Repräsentanten,Repräsentantinnen und Repräsentanten,N
14,Rettungshelfer,Rettungshelferin bzw. -helfer,N
14,Sachbearbeiter,Sachbearbeiterin bzw.  Sachbearbeiter,N
14,Sachbearbeiter,SachbearbeiterInnen,Y
14,Sachbearbeiter,Sachbearbeiterinnen und Sachbearbeiter,N
14,Schriftsteller,Schriftstellerin bzw. Schriftsteller,N
14,Schriftsteller,SchriftstellerInnen,Y
14,Schriftsteller,Schriftstellerinnen und Schriftsteller,N
14,Schulsprechern,Schulsprecherinnen und Schulsprechern,N
14,Sektionsleiter,Sektionsleiterin bzw. -leiter,N
14,Sektionsleiter,SektionsleiterInnen,Y
14,Sektionsleiter,Sektionsleitung,N
14,Sektionsleiter,Sektionsleiterinnen und Sektionsleiter,N
14,Sozialarbeiter,Sozialarbeiterin bzw. Sozialarbeiter,N
14,Sozialarbeiter,SozialarbeiterInnen,Y
14,Sozialarbeiter,Sozialarbeiterinnen und Sozialarbeiter,N
14,Sozialdemokrat,Sozialdemokratin und Sozialdemokrat,N
14,Sozialpädagoge,Sozialpädagogin bzw. Sozialpädagoge,N
14,Stationsführer,Stationsführerin bzw. Stationsführer,N
14,Stationsführer,Stationsführerinnen und Stationsführer,N
14,Stationsführer,StationsführerInnen,Y
14,Stationsleiter,Stationsleiterin bzw. -leiter,N
14,Stationsleiter,StationsleiterInnen,Y
14,Stationsleiter,Stationsleiterinnen und Stationsleiter,N
14,Stellvertreter,Stellvertretung,N
14,Stellvertreter,Vertretung,N
14,Stellvertreter,vertreten durch,N
14,Stellvertreter,vertreten von,N
14,Südamerikanern,Südamerikanerinnen und Südamerikanern,N
14,Systembediener,Systembedienerin bzw. Systembediener,N
14,Systembediener,SystembedienerInnen,Y
14,Teilnehmerzahl,Teilnahmezahl; Gruppengröße; Anmeldezahl,N
14,Troubleshooter,Troubleshooterin bzw. Troubleshooter,N
14,Unteroffiziere,Unteroffizierinnen und Unteroffiziere,N
14,Verkehrssünder,Verkehrssünderin bzw. Verkehrssünder,N
14,Verkehrssünder,Verkehrssünderinnen und Verkehrssünder,N
14,Verkehrssünder,VerkehrssünderInnen,Y
14,Werkzeugmacher,Werkzeugmacherin bzw. Werkzeugmacher,N
14,Werkzeugmacher,WerkzeugmacherInnen,Y
14,Werkzeugmacher,Werkzeugmacherinnen und Werkzeugmacher,N
14,Wissenschafter,Wissenschafterin bzw. Wissensschafter,N
14,Wissenschafter,Wissenschafterinnen und Wissensschafter,N
14,Wissenschafter,WissenschafterInnen,Y
14,Wohnungsmakler,Wohnungsmaklerin bzw. Wohnungsmakler,N
14,Wohnungsmakler,WohnungsmaklerInnen,Y
14,Wohnungsmakler,Wohnungsmaklerinnen und Wohnungsmakler,N
14,Workshopleiter,Workshopleitung,N
14,Zahnarzthelfer,Zahnarzthelferin bzw. Zahnarzthelfer,N
14,Zahnarzthelfer,ZahnarzthelferInnen,Y
14,Zahnarzthelfer,Zahnarzthelferinnen und Zahnarzthelfer,N
14,Ziviltechniker,Ziviltechnikerin bzw. Ziviltechniker,N
14,Ziviltechniker,ZiviltechnikerInnen,Y
13,Abfallmanager,Abfallmanagerin und Abfallmanager,N
13,Abfallmanager,AbfallmanagerInnen,Y
13,Administrator,Administratorin und Administrator,N
13,Administrator,Administratorin bzw. Administrator,N
13,Altenpflegern,Altenpflegerinnen und Altenpflegern,N
13,Altenpflegern,Pflegepersonal,N
13,Anthropologen,Anthropologinnen und Anthropologen,N
13,Antragsteller,Antrag gestellt von,N
13,Antragsteller,ich beantrage,N
13,Antragsteller,Antragstellerin bzw. Antragsteller,N
13,Antragsteller,AntragstellerInnen,Y
13,Anwaltskosten,Kosten für die Rechtsvertretung,N
13,Archivgehilfe,Archivgehilfin bzw. Archivgehilfe,N
13,Arztgeheimnis,Berufsgeheimnis,N
13,Arztgeheimnis,Schweigepflicht der Ärztin,N
13,Arztgeheimnis,Schweigepflicht des Arztes,N
13,Assistenzarzt,Assistenzärztin bzw. Assistenzarzt,N
13,Auftragnehmer,Auftragnehmerin bzw. Auftragnehmer,N
13,Auftragnehmer,Auftragnehmerinnen und Auftragnehmer,N
13,Auftragnehmer,AuftragnehmerInnen,Y
13,Bauingenieure,Bauingenieurinnen und Bauingenieure,N
13,Bauinspizient,Bauinspizientin bzw. Bauinspizient,N
13,Bauinspizient,Bauinspizientin und Bauinspizient,N
13,Beifahrersitz,Beifahrsitz,N
13,Beschuldigter,beschuldigte Person,N
13,Betriebsärzte,BetriebsärztInnen,Y
13,Betriebsärzte,Betriebsärztinnen und Betriebsärzte,N
13,Bibliothekare,BibliothekarInnen,Y
13,Bibliothekare,Bibliothekarinnen und Bibliothekare,N
13,Börsenmaklern,Börsenmaklerinnen und Börsenmaklern,N
13,Branddirektor,Branddirektorin bzw. Branddirektor,N
13,Branddirektor,Branddirektor bzw. -direktorin,N
13,Burgenländern,Burgenländerinnen und Burgenländern,N
